Year,Country,EV_Registrations,Total_Car_Registrations,EV_Share_Percent,Public_Charging_Points,Charging_Points_per_1000_EV,Estimated_Addressable_Market_EUR_mn,Commercial_Ease_1_5,Competition_Intensity_1_5,Price_Index_vs_EU
2021,Germany,354539,2616504,13.6,45938,129.6,317.0,4.6,4.5,1.08
2022,Germany,391985,2683087,14.6,56498,144.1,355.7,4.6,4.5,1.08
2023,Germany,458984,2691592,17.1,77766,169.4,426.9,4.6,4.5,1.08
2024,Germany,525782,2719518,19.3,101581,193.2,500.3,4.6,4.5,1.08
2025,Germany,623729,2757773,22.6,130303,208.9,602.3,4.6,4.5,1.08
2026,Germany,675865,2827983,23.9,167941,248.5,676.7,4.6,4.5,1.08
2021,France,290434,1661275,17.5,53832,185.4,265.9,4.2,4.0,1.04
2022,France,339392,1680598,20.2,67606,199.2,315.0,4.2,4.0,1.04
2023,France,388780,1725083,22.5,91273,234.8,373.3,4.2,4.0,1.04
2024,France,478244,1741512,27.5,116952,244.5,463.4,4.2,4.0,1.04
2025,France,564483,1807999,31.2,143553,254.3,551.9,4.2,4.0,1.04
2026,France,602578,1823647,33.0,193682,321.4,625.5,4.2,4.0,1.04
2021,United Kingdom,304818,1668861,18.3,30147,98.9,268.5,4.4,4.2,1.1
2022,United Kingdom,358849,1705551,21.0,39775,110.8,320.0,4.4,4.2,1.1
2023,United Kingdom,413096,1789254,23.1,53234,128.9,375.1,4.4,4.2,1.1
2024,United Kingdom,481679,1796828,26.8,67562,140.3,442.3,4.4,4.2,1.1
2025,United Kingdom,578399,1825280,31.7,90472,156.4,539.5,4.4,4.2,1.1
2026,United Kingdom,681190,1925662,35.4,121603,178.5,648.9,4.4,4.2,1.1
2021,Netherlands,97048,324955,29.9,84772,873.5,151.1,4.5,4.0,1.07
2022,Netherlands,115709,324783,35.6,103669,895.9,182.4,4.5,4.0,1.07
2023,Netherlands,126742,332733,38.1,117425,926.5,203.3,4.5,4.0,1.07
2024,Netherlands,139066,332186,41.9,142453,1024.4,235.3,4.5,4.0,1.07
2025,Netherlands,155591,337266,46.1,168649,1083.9,271.7,4.5,4.0,1.07
2026,Netherlands,178506,340732,52.4,195568,1095.6,313.5,4.5,4.0,1.07
2021,Norway,135084,172813,78.2,20174,149.3,129.0,4.0,4.6,1.14
2022,Norway,157125,180247,87.2,24159,153.8,150.7,4.0,4.6,1.14
2023,Norway,156551,174888,89.5,27015,172.6,152.8,4.0,4.6,1.14
2024,Norway,156363,169960,92.0,30676,196.2,156.0,4.0,4.6,1.14
2025,Norway,163289,177489,92.0,36065,220.9,166.5,4.0,4.6,1.14
2026,Norway,162592,176731,92.0,39379,242.2,168.9,4.0,4.6,1.14
2021,Sweden,134563,296733,45.3,17867,132.8,121.7,4.1,3.8,1.09
2022,Sweden,155564,303268,51.3,22125,142.2,142.0,4.1,3.8,1.09
2023,Sweden,160516,313513,51.2,25729,160.3,149.1,4.1,3.8,1.09
2024,Sweden,175521,309006,56.8,32195,183.4,166.7,4.1,3.8,1.09
2025,Sweden,193729,308939,62.7,40473,208.9,188.5,4.1,3.8,1.09
2026,Sweden,221129,305430,72.4,49382,223.3,218.0,4.1,3.8,1.09
2021,Italy,130917,1441947,9.1,21561,164.7,108.0,3.8,3.2,0.94
2022,Italy,163327,1480874,11.0,28056,171.8,135.8,3.8,3.2,0.94
2023,Italy,194553,1498273,13.0,36805,189.2,164.8,3.8,3.2,0.94
2024,Italy,231461,1536697,15.1,47361,204.6,199.3,3.8,3.2,0.94
2025,Italy,271203,1598991,17.0,60236,222.1,237.8,3.8,3.2,0.94
2026,Italy,338425,1594198,21.2,80528,237.9,301.5,3.8,3.2,0.94
2021,Spain,76434,858685,8.9,14834,194.1,64.0,3.9,3.0,0.92
2022,Spain,101826,874497,11.6,19809,194.5,85.3,3.9,3.0,0.92
2023,Spain,119314,912849,13.1,27648,231.7,103.9,3.9,3.0,0.92
2024,Spain,151198,943463,16.0,37102,245.4,133.5,3.9,3.0,0.92
2025,Spain,187745,954069,19.7,48725,259.5,168.2,3.9,3.0,0.92
2026,Spain,235119,958675,24.5,68035,289.4,217.0,3.9,3.0,0.92
